現像,현상
つくづく,つくづく
作り,作り
造り,造り
繕う,繕う
付け加える,付け加える
告げる,告げる
つじつま (はなしの～),つじつま (はなしの～)
筒,筒
突く,突く
突っ突く,突っ突く
謹む,謹む
突っ張る,突っ張る
務まる,務まる
勤め先,勤め先
努めて,努めて
津波,津波
つねる,つねる
角,角
募る,募る
唾,唾
呟く,呟く
つぶら,つぶら
つぶる (めを～),つぶる (めを～)
壷,壷
蕾,蕾
連なる,連なる
貫く,貫く
連ねる,連ねる
釣り鐘,釣り鐘
吊り革,吊り革
手当,手当
定義,定義
提供,提供
提携,提携
体裁,体裁
提示,提示
ティシュペーパー,ティシュペーパー
定食,定食
訂正,訂正
停滞,停滞
邸宅,邸宅
定年,定年
堤防,堤防
手遅れ,手遅れ
でかい,でかい
手掛かり,手掛かり
手掛ける,手掛ける
手数,手数
手軽,手軽
適応,適応
適宜,適宜
適性,適性
できもの,できもの
手際,手際
出くわす,出くわす
手順,手順
手錠,手錠
手数,手数
デコレーション,デコレーション
手近,手近
てっきり,てっきり
鉄鋼,鉄鋼
デッサン,デッサン
徹する,徹する
てっぺん,てっぺん
鉄棒,鉄棒
出直し,出直し
掌,掌
手配,手配
手筈,手筈
手引,手引
手本,手本
手回し,手回し
手元,手元
デモンストレーション,デモンストレーション
照り返す,照り返す
テレックス,テレックス
手分け,手分け
天,天
田園,田園
天下,天下
転回,転回
連休,連休
レンジ,レンジ
連日,連日
連帯,連帯
レンタカー,レンタカー
連中,連中
レントゲン,レントゲン
連邦,連邦
連盟,連盟
老衰,老衰
朗読,朗読
浪費,浪費
労力,労力
ロープウエイ,ロープウエイ
ロープ,ロープ
ろくな,ろくな
露骨,露骨
ロマンチック,ロマンチック
論議,論議
論理,論理
惑星,惑星
技,技
わざわざ,わざわざ
煩わしい,煩わしい
渡り鳥,渡り鳥
ワット,ワット
詫び,詫び
和文,和文
藁,藁
～割,～割
割当,割当
割込む,割込む
悪者,悪者
我,我
捗る,捗る
はかない,はかない
ばかばかしい,ばかばかしい
破棄,破棄
剥ぐ,剥ぐ
迫害,迫害
薄弱,薄弱
白状,白状
漠然,漠然
爆弾,爆弾
爆破,爆破
暴露,暴露
励ます,励ます
励む,励む
剥げる,剥げる
化ける,化ける
派遣,派遣
恥,恥
弾く,弾く
パジャマ,パジャマ
恥じらう,恥じらう
恥じる,恥じる
橋渡し,橋渡し
弾む,弾む
破損,破損
叩く,叩く
裸足,裸足
果たす,果たす
蜂蜜,蜂蜜
パチンコ,パチンコ
罰,罰
発育,発育
発芽,発芽
発掘,発掘
発言,発言
バッジ,バッジ
発生,発生
仕立てる,仕立てる
下取り,下取り
下火,下火
実,実
実家,実家
失格,失格
質疑,質疑
失脚,失脚
実業家,実業家
シック,シック
じっくり,じっくり
躾,躾
躾ける,躾ける
実践,実践
質素,質素
実態,実態
失調,失調
嫉妬,嫉妬
実費,実費
指摘,指摘
自転,自転
助動詞,助動詞
淑やか,淑やか
萎びる,萎びる
シナリオ,シナリオ
しなやか,しなやか
屎尿,屎尿
地主,地主
凌ぐ,凌ぐ
芝,芝
始発,始発
耳鼻科,耳鼻科
私物,私物
しぶとい,しぶとい
司法,司法
始末,始末
染みる,染みる
使命,使命
地元,地元
視野,視野
弱,弱
社交,社交
ジャズ,ジャズ
謝絶,謝絶
社宅,社宅
若干,若干
三味線,三味線
斜面,斜面
砂利,砂利
洒落る,洒落る
ジャンパー,ジャンパー
ジャンプ,ジャンプ
ジャンボ,ジャンボ
ジャンル,ジャンル
主,主
種,種
私有,私有
～宗,～宗
収益,収益
修学,修学
周期,周期
衆議院,衆議院
就業,就業
従業員,従業員
集計,集計
襲撃,襲撃
収支,収支
終始,終始
修士,修士
従事,従事
終日,終日
充実,充実
収集,収集
十字路,十字路
執着,執着
執着,執着
柔軟,柔軟
重複,重複
収容,収容
従来,従来
守衛,守衛
主演,主演
主観,主観
修行,修行
塾,塾
祝賀,祝賀
宿命,宿命
手芸,手芸
主権,主権
主催,主催
取材,取材
趣旨,趣旨
種々,種々
主食,主食
主人公,主人公
主体,主体
主題,主題
出演,出演
出血,出血
出現,出現
出産,出産
出社,出社
出生,出生
出生,出生
微量,微量
昼飯,昼飯
比例,比例
疲労,疲労
敏感,敏感
貧困,貧困
品質,品質
貧弱,貧弱
品種,品種
ヒント,ヒント
頻繁,頻繁
貧乏,貧乏
ファイト,ファイト
ファイル,ファイル
ファン,ファン
不意,不意
フィルタ,フィルタ
封,封
封鎖,封鎖
風車,風車
風習,風習
風俗,風俗
ブーツ,ブーツ
風土,風土
ブーム,ブーム
フォーム,フォーム
部下,部下
不可欠,不可欠
ぶかぶか,ぶかぶか
不吉,不吉
不況,不況
布巾,布巾
複合,複合
福祉,福祉
覆面,覆面
膨れる,膨れる
不景気,不景気
耽る,耽る
老ける,老ける
富豪,富豪
布告,布告
ブザー,ブザー
負債,負債
不在,不在
ふさわしい,ふさわしい
不順,不順
負傷,負傷
侮辱,侮辱
不審,不審
不振,不振
武装,武装
札,札
負担,負担
不調,不調
復活,復活
物議,物議
復旧,復旧
復興,復興
物資,物資
仏像,仏像
物体,物体
沸騰,沸騰
不当,不当
不動産,不動産
無難,無難
赴任,赴任
腐敗,腐敗
不評,不評
不服,不服
普遍,普遍
踏まえる,踏まえる
踏み込む,踏み込む
不明,不明
部門,部門
扶養,扶養
ふらふら,ふらふら
ぶらぶら,ぶらぶら
振り返る,振り返る
振り出し,振り出し
不良,不良
浮力,浮力
武力,武力
ブル,ブル
震わせる,震わせる
無礼,無礼
付録,付録
フロント,フロント
憤慨,憤慨
文化財,文化財
分業,分業
文語,文語
分散,分散
分子,分子
紛失,紛失
噴出,噴出
文書,文書
紛争,紛争
ふんだん,ふんだん
分担,分担
奮闘,奮闘
分配,分配
分母,分母
粉末,粉末
分離,分離
分裂,分裂
ペア,ペア
兵器,兵器
閉口,閉口
閉鎖,閉鎖
兵士,兵士
平常,平常
平方,平方
並列,並列
ベース,ベース
辟易,辟易
ぺこぺこ,ぺこぺこ
ベスト,ベスト
ベストセラー,ベストセラー
隔たる,隔たる
縁,縁
へりくだる,へりくだる
弁解,弁解
変革,変革
返還,返還
便宜,便宜
偏見,偏見
弁護,弁護
返済,返済
弁償,弁償
変遷,変遷
返答,返答
変動,変動
弁論,弁論
穂,穂
保育,保育
ボイコット,ボイコット
ポイント,ポイント
法案,法案
防衛,防衛
防火,防火
崩壊,崩壊
妨害,妨害
法学,法学
封建,封建
豊作,豊作
方策,方策
奉仕,奉仕
方式,方式
放射,放射
放射能,放射能
報酬,報酬
放出,放出
報じる,報じる
報ずる,報ずる
紡績,紡績
呆然,呆然
放置,放置
膨張,膨張
法廷,法廷
報道,報道
冒頭,冒頭
暴動,暴動
褒美,褒美
暴風,暴風
葬る,葬る
放り込む,放り込む
放り出す,放り出す
暴力,暴力
飽和,飽和
ホース,ホース
ポーズ,ポーズ
ホール,ホール
保温,保温
捕獲,捕獲
保管,保管
補給,補給
補強,補強
募金,募金
牧師,牧師
捕鯨,捕鯨
惚ける,惚ける
保険,保険
母校,母校
母国,母国
誇る,誇る
綻びる,綻びる
干し～,干し～
ポジション,ポジション
干し物,干し物
保守,保守
補充,補充
補助,補助
舗装,舗装
補足,補足
墓地,墓地
発作,発作
没収,没収
発足,発足
ポット,ポット
ほっぺた,ほっぺた
ぼつぼつ,ぼつぼつ
没落,没落
解ける,解ける
施す,施す
ほとり,ほとり
ぼやく,ぼやく
ぼやける,ぼやける
保養,保養
捕虜,捕虜
ボルト,ボルト
滅びる,滅びる
滅ぼす,滅ぼす
本格,本格
本館,本館
本気,本気
本国,本国
本質,本質
本体,本体
本音,本音
本能,本能
本場,本場
ポンプ,ポンプ
本文,本文
本名,本名
マーク,マーク
マイ～,マイ～
マイクロフォン,マイクロフォン
埋蔵,埋蔵
舞う,舞う
真上,真上
前売,前売
前置き,前置き
任す,任す
負かす,負かす
賄う,賄う
紛らわしい,紛らわしい
紛れる,紛れる
真心,真心
まごつく,まごつく
誠,誠
誠に,誠に
まさしく,まさしく
勝る,勝る
～増し,～増し
交える,交える
真下,真下
まして,まして
交わる,交わる
麻酔,麻酔
またがる (うまを～),またがる (うまを～)
待ち合わせ,待ち合わせ
待ち遠しい,待ち遠しい
待ち望む,待ち望む
まちまち,まちまち
末期,末期
真っ二つ,真っ二つ
まと,まと
纏まり,纏まり
纏め,纏め
免れる,免れる
招き,招き
瞬き,瞬き
麻痺,麻痺
～まみれ,～まみれ
眉,眉
鞠,鞠
丸ごと,丸ごと
まるっきり,まるっきり
丸々,丸々
丸める,丸める
満月,満月
満場,満場
真ん前,真ん前
真ん丸い,真ん丸い
真ん円い,真ん円い
～味,～味
見合い,見合い
見合わせる,見合わせる
見落とす,見落とす
未開,未開
味覚,味覚
幹,幹
見苦しい,見苦しい
見込み,見込み
未婚,未婚
未熟,未熟
微塵,微塵
水気,水気
ミスプリント,ミスプリント
みすぼらしい,みすぼらしい
ミセス,ミセス
見せびらかす,見せびらかす
見せ物,見せ物
溝,溝
満たす,満たす
乱す,乱す
乱れる,乱れる
未知,未知
身近,身近
導く,導く
密集,密集
密接,密接
密度,密度
見積もり,見積もり
未定,未定
見通し,見通し
見なす,見なす
源,源
見習う,見習う
身なり,身なり
峰,峰
身の上,身の上
見逃す,見逃す
身の回り,身の回り
見計らう,見計らう
見晴らし,見晴らし
身振り,身振り
脈,脈
ミュージック,ミュージック
未練,未練
見渡す,見渡す
民宿,民宿
民族,民族
民俗,民俗
無意味,無意味
ムード,ムード
無口,無口
婿,婿
無効,無効
無言,無言
無邪気,無邪気
むしる,むしる
結び,結び
結び付き,結び付き
結び付く,結び付く
結び付ける,結び付ける
無線,無線
無駄遣い,無駄遣い
無断,無断
無知,無知
無茶,無茶
無茶苦茶,無茶苦茶
空しい,空しい
無念,無念
無能,無能
無闇に,無闇に
無用,無用
斑,斑
群がる,群がる
無論,無論
名産,名産
名称,名称
命中,命中
明白,明白
名簿,名簿
名誉,名誉
明瞭,明瞭
明朗,明朗
メーカー,メーカー
目方,目方
恵み,恵み
恵む,恵む
目覚しい,目覚しい
目覚める,目覚める
召す,召す
雌,雌
目付き,目付き
滅亡,滅亡
メディア,メディア
目途,目途
目盛,目盛
メロディー,メロディー
面会,面会
免除,免除
面する,面する
面目,面目
面目,面目
～網,～網
設ける,設ける
申し入れる,申し入れる
申込,申込
申出,申出
申し出る,申し出る
申し分,申し分
盲点,盲点
猛烈,猛烈
モーテル,モーテル
もがく,もがく
目録,目録
目論見,目論見
模型,模型
模索,模索
もしかして,もしかして
もしくは,もしくは
もたらす,もたらす
持ち切り,持ち切り
目下,目下
専ら,専ら
もてなす,もてなす
もてる,もてる
モニター,モニター
物好き,物好き
物足りない,物足りない
もはや,もはや
模範,模範
模倣,模倣
もめる,もめる
股,股
腿,腿
催す,催す
漏らす,漏らす
盛り上がる,盛り上がる
漏る,漏る
漏れる,漏れる
脆い,脆い
もろに,もろに
矢,矢
野外,野外
～薬,～薬
夜具,夜具
役職,役職
役場,役場
やけに,やけに
屋敷,屋敷
養う,養う
野心,野心
安っぽい,安っぽい
休める,休める
野生,野生
奴,奴
闇,闇
病む,病む
ややこしい,ややこしい
やりとおす,やりとおす
やりとげる,やりとげる
和らげる,和らげる
ヤング,ヤング
～油,～油
優位,優位
憂鬱,憂鬱
有益,有益
優越,優越
勇敢,勇敢
夕暮れ,夕暮れ
融資,融資
有する,有する
優勢,優勢
優先,優先
誘導,誘導
融通,融通
優美,優美
有望,有望
遊牧,遊牧
夕焼け,夕焼け
有力,有力
幽霊,幽霊
誘惑,誘惑
故,故
歪む,歪む
揺さぶる,揺さぶる
濯ぐ,濯ぐ
ゆとり,ゆとり
ユニーク,ユニーク
ユニフォーム,ユニフォーム
指差す,指差す
弓,弓
揺らぐ,揺らぐ
緩む,緩む
緩める,緩める
緩やか,緩やか
要因,要因
溶液,溶液
用件,用件
養護,養護
用紙,用紙
様式,様式
要する,要する
要請,要請
様相,様相
用品,用品
洋風,洋風
用法,用法
要望,要望
余暇,余暇
予感,予感
余興,余興
預金,預金
欲,欲
抑圧,抑圧
浴室,浴室
抑制,抑制
欲深い,欲深い
欲望,欲望
避ける,避ける
予言,予言
横綱,横綱
汚れ,汚れ
よし (かん),よし (かん)
良し,良し
善し悪し,善し悪し
余所見,余所見
余地,余地
よって (よりどころ),よって (よりどころ)
与党,与党
呼び止める,呼び止める
夜更し,夜更し
夜更け,夜更け
余程,余程
読み上げる,読み上げる
～寄り,～寄り
寄り掛かる,寄り掛かる
世論,世論
弱る,弱る
来場,来場
ライス,ライス
酪農,酪農
落下,落下
楽観,楽観
ランプ,ランプ
濫用,濫用
リード,リード
理屈,理屈
利子,利子
利潤,利潤
理性,理性
利息,利息
立体,立体
立方,立方
立法,立法
利点,利点
略奪,略奪
略語,略語
流通,流通
領域,領域
了解,了解
領海,領海
両極,両極
良好,良好
良識,良識
良質,良質
了承,了承
良心,良心
領地,領地
領土,領土
両立,両立
旅客,旅客
旅券,旅券
履歴,履歴
理論,理論
林業,林業
類,類
類推,類推
類似,類似
ルーズ,ルーズ
冷酷,冷酷
冷蔵,冷蔵
冷淡,冷淡
レース,レース
レギュラー,レギュラー
レッスン,レッスン
レディー,レディー
レバー,レバー
恋愛,恋愛
バッテリー,バッテリー
バット,バット
発病,発病
初耳,初耳
果て,果て
果てる,果てる
ばてる,ばてる
パトカー,パトカー
甚だ,甚だ
華々しい,華々しい
花びら,花びら
華やか,華やか
阻む,阻む
浜,浜
浜辺,浜辺
はまる,はまる
早める,早める
腹立ち,腹立ち
原っぱ,原っぱ
はらはら,はらはら
ばらまく,ばらまく
張り紙,張り紙
遥か,遥か
破裂,破裂
腫れる,腫れる
繁栄,繁栄
版画,版画
ハンガー,ハンガー
反感,反感
反響,反響
パンク,パンク
反撃,反撃
判決,判決
反射,反射
繁盛,繁盛
繁殖,繁殖
反する,反する
判定,判定
万人,万人
晩年,晩年
反応,反応
万能,万能
半端,半端
反発,反発
反乱,反乱
氾濫,氾濫
美,美
ひいては,ひいては
ビールス,ビールス
控室,控室
控える,控える
悲観,悲観
引き上げる,引き上げる
率いる,率いる
引き起こす,引き起こす
引下げる,引下げる
引きずる,引きずる
引取る,引取る
否決,否決
日頃,日頃
久しい,久しい
悲惨,悲惨
ビジネス,ビジネス
比重,比重
美術,美術
秘書,秘書
微笑,微笑
歪む,歪む
密か,密か
浸す,浸す
ひたすら,ひたすら
左利き,左利き
引っ掻く,引っ掻く
必修,必修
びっしょり,びっしょり
必然,必然
匹敵,匹敵
一息,一息
人影,人影
人柄,人柄
人気,人気
一頃,一頃
人質,人質
一筋,一筋
人目,人目
日取り,日取り
雛,雛
雛祭,雛祭
日向,日向
非難,非難
避難,避難
日の丸,日の丸
火花,火花
ひび (かべの～),ひび (かべの～)
悲鳴,悲鳴
冷やかす,冷やかす
日焼け,日焼け
標語,標語
描写,描写
ひょっと,ひょっと
びら,びら
平たい,平たい
びり,びり
比率,比率
