〜 (まる) ごと,~ (마루) 당
見詰める,見詰める
見直す,見直す
見慣れる,見慣れる
醜い,醜い
実る,実る
身分,身分
見本,見本
見舞う,見舞う
未満,未満
名字,名字
ミリ (メートル),ミリ (メートル)
診る,診る
民間,民間
民主～,民主～
民謡,民謡
無限,無限
無地,無地
蒸し暑い,蒸し暑い
矛盾,矛盾
無数,無数
紫,紫
群れ,群れ
姪,姪
名～,名～
名作,名作
名詞,名詞
名刺,名刺
名所,名所
迷信,迷信
命ずる,命ずる
名物,名物
銘々,銘々
恵まれる,恵まれる
巡る,巡る
目指す,目指す
目覚し,目覚し
目下,目下
目印,目印
目立つ,目立つ
めちゃくちゃ,めちゃくちゃ
めっきり,めっきり
めでたい,めでたい
メニュー,メニュー
めまい,めまい
目安,目安
免税,免税
面積,面積
面接,面接
面倒臭い,面倒臭い
モーター,モーター
儲かる,儲かる
儲ける,儲ける
申し訳ない,申し訳ない
木材,木材
目次,目次
潜る,潜る
もしかしたら,もしかしたら
もたれる,もたれる
凭れる,凭れる
モダン,モダン
餅,餅
モデル,モデル
元々,元々
物置,物置
物語る,物語る
物差し,物差し
物凄い,物凄い
モノレール,モノレール
紅葉,紅葉
揉む,揉む
もやす,もやす
催し,催し
盛る,盛る
問答,問答
やかましい,やかましい
喧しい,喧しい
夜間,夜間
やかん,やかん
やかん,やかん
役者,役者
役所,役所
役人,役人
薬品,薬品
役目,役目
火傷,火傷
夜行,夜行
矢印,矢印
やたらに,やたらに
薬局,薬局
やっつける,やっつける
やっぱり,やっぱり
家主,家主
破く,破く
やむをえない,やむをえない
軟らかい,軟らかい
遊園地,遊園地
夕刊,夕刊
友好,友好
郵送,郵送
夕立,夕立
夕日,夕日
悠々,悠々
有料,有料
浴衣,浴衣
行方,行方
湯気,湯気
輸血,輸血
輸送,輸送
油断,油断
湯飲み,湯飲み
湯飲,湯飲
緩い,緩い
溶岩,溶岩
容器,容器
用語,用語
要旨,要旨
幼児,幼児
容積,容積
幼稚,幼稚
幼稚園,幼稚園
用途,用途
洋品店,洋品店
養分,養分
羊毛,羊毛
漸く,漸く
要領,要領
翌～,翌～
欲張り,欲張り
余計,余計
よこす,よこす
よごす,よごす
寄せる,寄せる
余所,余所
四つ角,四つ角
酔っ払い,酔っ払い
予備,予備
呼び掛ける,呼び掛ける
呼び出す,呼び出す
蘇る,蘇る
慶ぶ,慶ぶ
来日,来日
落第,落第
ラッシュアワー,ラッシュアワー
欄,欄
ランチ,ランチ
ランニング,ランニング
乱暴,乱暴
理科,理科
利害,利害
リズム,リズム
リットル,リットル
リポート,リポート
リボン,リボン
略す,略す
流域,流域
寮,寮
両～,両～
両側,両側
漁師,漁師
領事,領事
領収,領収
臨時,臨時
留守番,留守番
例外,例外
零点,零点
冷凍,冷凍
レインコート,レインコート
レクリェーション,レクリェーション
レジャー,レジャー
列島,列島
煉瓦,煉瓦
連合,連合
レンズ,レンズ
ローマ字,ローマ字
ろうそく,ろうそく
録音,録音
ロッカー,ロッカー
ロビー,ロビー
論ずる,論ずる
和～,和～
和英,和英
我～,我～
分かれる,分かれる
若々しい,若々しい
詫びる,詫びる
和服,和服
割合に,割合に
割算,割算
割と,割と
割引,割引
ワンピース,ワンピース
